.structStaticCharacterROMEntry 1,.structDynamicCharacterROMEntry,.structEnemyCharacterROMEntry,Type,HP,STR,MAG,SKL,SPD,DEF,RES,LUK,Class,Level,LeadershipStars,Money,ID,Name,Number,Gender,Unknown,HPGrowth,STRGrowth,MAGGrowth,SKLGrowth,SPDGrowth,DEFGrowth,RESGrowth,LUKGrowth,Skills1,Skills2,Skills3,HolyBlood1,HolyBlood2,Equipment1,Equipment2,UniqueEquipment,Influence
Sigurd,,,UnitTypeStatic,35,4,0,4,5,2,0,7,KnightLord,5,2,5,$0001,$0000,$01,GenderMale,0,70,30,5,30,30,40,5,20,UnitSkill1Pursuit,None,None,MajorBaldrBlood,None,PI_SteelSword1,PI_IronLance1,NoItem,
Naoise,,,UnitTypeStatic,33,4,0,1,2,2,0,4,Cavalier,3,0,2,$0002,$0001,$02,GenderMale,0,80,40,5,30,20,40,5,20,None,UnitSkill2Critical | UnitSkill2Accost,None,None,None,PI_SteelSword3,NoItem,NoItem,
Alec,,,UnitTypeStatic,32,2,0,3,4,1,0,4,Cavalier,2,0,2,$0003,$0002,$03,GenderMale,0,70,30,5,40,30,30,5,30,UnitSkill1Pursuit | UnitSkill1Nihil,None,None,None,None,PI_IronSword1,NoItem,NoItem,
Arden,,,UnitTypeStatic,36,4,0,0,1,3,0,3,SwordArmor,3,0,2,$0004,$0003,$04,GenderMale,0,90,50,5,10,20,40,5,10,None,UnitSkill2Vantage,None,None,None,PI_IronSword3,NoItem,NoItem,
Finn,,,UnitTypeStatic,32,2,0,2,4,1,0,8,LanceKnight,1,0,2,$0005,$0004,$05,GenderMale,0,70,30,5,40,30,30,5,50,UnitSkill1Pursuit | UnitSkill1Miracle,None,UnitSkill3Unknown1,None,None,PI_IronLance2,NoItem,NoItem,
Quan,,,UnitTypeStatic,34,4,0,3,3,2,0,5,DukeKnight,4,2,5,$0006,$0005,$06,GenderMale,0,70,30,5,30,20,30,5,10,UnitSkill1Adept,None,UnitSkill3Unknown1,MajorNjorunBlood,None,PI_SteelLance1,PI_Javelin1,NoItem,
Midayle,,,UnitTypeStatic,32,2,0,1,3,1,0,3,BowKnight,2,0,2,$0007,$0006,$07,GenderMale,0,60,30,5,30,40,30,5,10,UnitSkill1Pursuit,UnitSkill2Accost,None,None,None,PI_IronBow1,NoItem,NoItem,
Lewyn,,,UnitTypeStatic,34,1,5,5,6,2,2,7,Bard,6,0,8,$0008,$0007,$08,GenderMale,0,50,10,30,40,30,20,10,20,UnitSkill1Adept,UnitSkill2Critical,None,None,MajorForsetiBlood,PI_Elwind,NoItem,NoItem,
Chulainn,,,UnitTypeStatic,40,7,0,7,7,6,1,1,Myrmidon,12,0,10,$0009,$0008,$09,GenderMale,0,90,30,5,50,30,30,5,20,None,UnitSkill2Luna,None,MinorOdBlood,None,PI_IronBlade1,NoItem,NoItem,
Azelle,,,UnitTypeStatic,30,0,3,1,3,1,1,2,Mage,1,0,5,$000A,$0009,$0A,GenderMale,0,50,10,10,20,50,20,10,20,UnitSkill1Pursuit,None,None,MinorFjalarBlood,None,PI_Fire1,NoItem,NoItem,
