.word 0,Offset
SigurdName,aCharacterNames.Sigurd - aCharacterNameOffsets
NaoiseName,aCharacterNames.Naoise - aCharacterNameOffsets
AlecName,aCharacterNames.Alec - aCharacterNameOffsets
ArdenName,aCharacterNames.Arden - aCharacterNameOffsets
FinnName,aCharacterNames.Finn - aCharacterNameOffsets
QuanName,aCharacterNames.Quan - aCharacterNameOffsets
MidirName,aCharacterNames.Midir - aCharacterNameOffsets
LewynName,aCharacterNames.Lewyn - aCharacterNameOffsets
ChulainnName,aCharacterNames.Chulainn - aCharacterNameOffsets
AzelleName,aCharacterNames.Azelle - aCharacterNameOffsets
JamkeName,aCharacterNames.Jamke - aCharacterNameOffsets
ClaudName,aCharacterNames.Claud - aCharacterNameOffsets
BeowulfName,aCharacterNames.Beowulf - aCharacterNameOffsets
LexName,aCharacterNames.Lex - aCharacterNameOffsets
DewName,aCharacterNames.Dew - aCharacterNameOffsets
DeirdreName,aCharacterNames.Deirdre - aCharacterNameOffsets
EthlynName,aCharacterNames.Ethlyn - aCharacterNameOffsets
LachesisName,aCharacterNames.Lachesis - aCharacterNameOffsets
AyraName,aCharacterNames.Ayra - aCharacterNameOffsets
ErinysName,aCharacterNames.Erinys - aCharacterNameOffsets
TailtiuName,aCharacterNames.Tailtiu - aCharacterNameOffsets
SilviaName,aCharacterNames.Silvia - aCharacterNameOffsets
EdainName,aCharacterNames.Edain - aCharacterNameOffsets
BrigidName,aCharacterNames.Brigid - aCharacterNameOffsets
SeliphName,aCharacterNames.Seliph - aCharacterNameOffsets
ShannaName,aCharacterNames.Shanna - aCharacterNameOffsets
DalvinName,aCharacterNames.Dalvin - aCharacterNameOffsets
AsaelloName,aCharacterNames.Asaello - aCharacterNameOffsets
LeifName,aCharacterNames.Leif - aCharacterNameOffsets
IucharName,aCharacterNames.Iuchar - aCharacterNameOffsets
CharlotName,aCharacterNames.Charlot - aCharacterNameOffsets
HawkName,aCharacterNames.Hawk - aCharacterNameOffsets
TristanName,aCharacterNames.Tristan - aCharacterNameOffsets
OldFinnName,aCharacterNames.Finn - aCharacterNameOffsets
DimnaName,aCharacterNames.Dimna - aCharacterNameOffsets
HannibalName,aCharacterNames.Hannibal - aCharacterNameOffsets
AresName,aCharacterNames.Ares - aCharacterNameOffsets
AmidName,aCharacterNames.Amid - aCharacterNameOffsets
OifeyName,aCharacterNames.Oifey - aCharacterNameOffsets
DaisyName,aCharacterNames.Daisy - aCharacterNameOffsets
RadneyName,aCharacterNames.Radney - aCharacterNameOffsets
MuirneName,aCharacterNames.Muirne - aCharacterNameOffsets
JuliaName,aCharacterNames.Julia - aCharacterNameOffsets
AltenaName,aCharacterNames.Altena - aCharacterNameOffsets
FeminaName,aCharacterNames.Femina - aCharacterNameOffsets
LindaName,aCharacterNames.Linda - aCharacterNameOffsets
LayleaName,aCharacterNames.Laylea - aCharacterNameOffsets
JeanneName,aCharacterNames.Jeanne - aCharacterNameOffsets
IucharbaName,aCharacterNames.Iucharba - aCharacterNameOffsets
ScathachName,aCharacterNames.Scathach - aCharacterNameOffsets
FebailName,aCharacterNames.Febail - aCharacterNameOffsets
CoirpreName,aCharacterNames.Coirpre - aCharacterNameOffsets
CedName,aCharacterNames.Ced - aCharacterNameOffsets
DiarmuidName,aCharacterNames.Diarmuid - aCharacterNameOffsets
LesterName,aCharacterNames.Lester - aCharacterNameOffsets
ArthurName,aCharacterNames.Arthur - aCharacterNameOffsets
PattyName,aCharacterNames.Patty - aCharacterNameOffsets
LarceiName,aCharacterNames.Larcei - aCharacterNameOffsets
LanaName,aCharacterNames.Lana - aCharacterNameOffsets
FeeName,aCharacterNames.Fee - aCharacterNameOffsets
TineName,aCharacterNames.Tine - aCharacterNameOffsets
LeneName,aCharacterNames.Lene - aCharacterNameOffsets
NannaName,aCharacterNames.Nanna - aCharacterNameOffsets
GerrardName,aCharacterNames.Gerrard - aCharacterNameOffsets
DiMaggioName,aCharacterNames.DiMaggio - aCharacterNameOffsets
VerdaneArmy1Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy2Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy3Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy4Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy5Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy6Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
CimbaethName,aCharacterNames.Cimbaeth - aCharacterNameOffsets
VerdaneArmy7Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy8Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy9Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneArmy10Name,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
MunnirName,aCharacterNames.Munnir - aCharacterNameOffsets
Commander1Name,aCharacterNames.Commander1 - aCharacterNameOffsets
